Entertainer,Gender,Birth_Year,Year_of_Breakthrough_or_Hit_or_Award_Nomination,Breakthrough_Name,Year_of_First_Award,Year_of_Last_Major_Work,Year_of_Death,Occupation,First_Award,Total no of Nominations,Total Awards won,Oscar Won,Grammy Won,Emmy Won,Other Awards ,Photo
Adele,F,1988,2008,19,2009,2016,"
",Singer,Grammy,71,44,1,15,0,28,https://upload.wikimedia.org/wikipedia/commons/5/52/Adele_for_Vogue_in_2021.png
Angelina Jolie,F,1975,1999,"Girl, Interrupted",1999,2016,"
",Actress,Oscar,117,18,1,0,0,17,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4a/Under_Secretary_Zeya_Meets_With_UNHCR_Special_Envoy_Jolie_%2851942861677%29_%28cropped%29.jpg/800px-Under_Secretary_Zeya_Meets_With_UNHCR_Special_Envoy_Jolie_%2851942861677%29_%28cropped%29.jpg
Aretha Franklin,F,1942,1967,I Never Loved a Man (The Way I Love You),1968,2014,"
",Singer,Grammy,38,30,0,20,0,10,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c6/Aretha_Franklin_1968.jpg/800px-Aretha_Franklin_1968.jpg
Bette Davis,F,1908,1934,Of Human Bondage,1935,1989,1989,Actress,Oscar,24,35,2,0,1,32,https://upload.wikimedia.org/wikipedia/commons/4/46/BetteDavis1935.jpg
Betty White,F,1922,1952,Life with Elilzabeth,1976,2016,"
",Comdeian,Emmy,40,41,0,2,5,34,https://upload.wikimedia.org/wikipedia/commons/6/6a/Betty_White_1988_Emmy_Awards_%28cropped_2%29.jpg
Bing Crosby,M,1903,1931,Several Songs,1962,1974,1977,singer,Grammy,14,18,1,1,0,16,https://upload.wikimedia.org/wikipedia/commons/e/e5/Bing_Crosby_Paramount_Pictures.jpg
Bob Hope,M,1903,1938,The Big Broadcast of 1938,1940,1972,2003,Comedian,Oscar,,,0,0,1,-1,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f5/Bob_Hope%2C_1978.jpg/800px-Bob_Hope%2C_1978.jpg
Carol Burnett,F,1933,1959,The Garry Moore Show,1962,2016,"
",Actress,Emmy,56,49,0,1,6,42,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9d/Carol_Burnett_1958.JPG/220px-Carol_Burnett_1958.JPG
Carole Lombard,F,1908,1934,Twentieth Century,"
",1942,1942,Actress,,1,1,0,0,0,1,https://upload.wikimedia.org/wikipedia/commons/a/a5/Lombard_by_Hurrell.jpg
Carrie Fisher,F,1956,1977,Star Wars,2018,2016,2016,Actress,Grammy,20,8,0,1,0,7,https://upload.wikimedia.org/wikipedia/commons/thumb/0/03/Carrie_Fisher_2013-a_straightened.jpg/800px-Carrie_Fisher_2013-a_straightened.jpg
Cary Grant,M,1904,1933,"She Done Him Wrong, I'm No Angel",1970,1966,1986,Actor,Oscar,22,12,0,0,0,12,https://upload.wikimedia.org/wikipedia/commons/thumb/2/27/Grant%2C_Cary_%28Suspicion%29_01_Crisco_edit.jpg/800px-Grant%2C_Cary_%28Suspicion%29_01_Crisco_edit.jpg
